公金支出情報（令和元年５月（出納整理期間）分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,　　　支払額　（円）　
政策企画局,総務部,総務課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払旅費の支出について(システム・31年4月処理分),854 
政策企画局,総務部,総務課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払旅費の支出について(システム・31年4月処理分),"14,390 "
政策企画局,総務部,総務課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払旅費の支出について(システム・31年4月処理分),"3,508 "
政策企画局,総務部,総務課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払旅費の支出について(システム・31年4月処理分),"3,889 "
政策企画局,総務部,総務課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,役務費,５月分  公共料金支払,"8,865 "
政策企画局,総務部,総務課,令和01年05月08日,一般会計,総務費,政策企画費,管理費,委託料,平成30年度東京都政策企画局ホームページ運用業務委託,"2,707,560 "
政策企画局,総務部,総務課,令和01年05月09日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,地域と人権（全国版）外１点の購読,"4,728 "
政策企画局,総務部,総務課,令和01年05月13日,一般会計,総務費,総務管理費,職員研修費,負担金補助及交付金,自己啓発による通信教育受講に係る支出,"10,405 "
政策企画局,総務部,総務課,令和01年05月13日,一般会計,総務費,総務管理費,職員研修費,負担金補助及交付金,自己啓発による通信教育受講に係る支出,"14,450 "
政策企画局,総務部,総務課,令和01年05月13日,一般会計,総務費,総務管理費,職員研修費,負担金補助及交付金,自己啓発による通信教育受講に係る支出,"10,640 "
政策企画局,総務部,総務課,令和01年05月13日,一般会計,総務費,総務管理費,職員研修費,負担金補助及交付金,自己啓発による資格取得支援に係る支出,"3,845 "
政策企画局,総務部,総務課,令和01年05月14日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー供給契約に係る継続支払(3月),"336,640 "
政策企画局,総務部,総務課,令和01年05月14日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー供給契約に係る継続支払(3月),"150,494 "
政策企画局,総務部,総務課,令和01年05月14日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー供給契約に係る継続支払(3月),"28,239 "
政策企画局,総務部,総務課,令和01年05月23日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払旅費の支出について(システム・R1年5月処理分),993 
政策企画局,総務部,総務課,令和01年05月23日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払旅費の支出について(システム・R1年5月処理分),660 
政策企画局,総務部,総務課,令和01年05月23日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払旅費の支出について(システム・R1年5月処理分),960 
政策企画局,総務部,秘書課,令和01年05月08日,一般会計,総務費,政策企画費,管理費,役務費,通信料金の払込みについて(３月分),"115,045 "
政策企画局,総務部,秘書課,令和01年05月22日,一般会計,総務費,政策企画費,管理費,役務費,通信料金の払込みについて(平成31年３月分),"115,045 "
政策企画局,総務部,管理課,令和01年05月09日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,しんぶん赤旗、東京民報の購読に要する経費の支払い,"56,961 "
政策企画局,総務部,管理課,令和01年05月10日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,敷布団ほか５点の借入れに要する経費の支払いについて,"83,214 "
政策企画局,総務部,管理課,令和01年05月10日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,新聞「国民民主プレス」の購読に要する経費の支払い,"2,000 "
政策企画局,政策調整部,政策調整課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,委託料,平成30年度戦略的広報体制の充実強化に向けた業務委託,"49,885,200 "
政策企画局,政策調整部,政策調整課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,委託料,平成30年度開催都市メディアセンター運営準備業務委託,"32,400,000 "
政策企画局,政策調整部,政策調整課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,役務費,光回線利用契約の支払い（3月分）,"6,912 "
政策企画局,政策調整部,政策調整課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,役務費,情報提供サービス(日経テレコン21)の利用に係る支払い(3月分),"8,640 "
政策企画局,政策調整部,政策調整課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,役務費,光回線利用契約(その2)の支払い(３月分),"6,912 "
政策企画局,政策調整部,政策調整課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,役務費,光回線利用契約(その3)の支払い（３月分）,"5,616 "
政策企画局,政策調整部,政策調整課,令和01年05月07日,一般会計,総務費,政策企画費,管理費,役務費,５月分  公共料金支払,"15,124 "
政策企画局,政策調整部,政策調整課,令和01年05月08日,一般会計,総務費,政策企画費,管理費,役務費,会見全文速報の利用に係る経費の支出(3月分),"19,440 "
政策企画局,政策調整部,政策調整課,令和01年05月08日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,会見全文速報の利用に係る経費の支出(3月分),"164,160 "
政策企画局,政策調整部,政策調整課,令和01年05月08日,一般会計,総務費,政策企画費,管理費,委託料,平成30年度海外広報事業の企画立案・運営業務委託,"383,184,000 "
政策企画局,政策調整部,政策調整課,令和01年05月13日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出について(4月支出・不適合除外分),"31,486 "
政策企画局,政策調整部,政策調整課,令和01年05月13日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出について(4月支出・不適合除外分),"38,116 "
政策企画局,政策調整部,政策調整課,令和01年05月13日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出について(4月支出・不適合除外分),"4,523 "
政策企画局,政策調整部,政策調整課,令和01年05月13日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出について(4月支出・不適合除外分),"31,022 "
政策企画局,政策調整部,政策調整課,令和01年05月13日,一般会計,総務費,政策企画費,管理費,旅費 特別旅費,定日払い旅費の支出について(4月支出・不適合除外分),"1,248 "
政策企画局,政策調整部,政策調整課,令和01年05月13日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出について(4月支出・不適合除外分),"144,794 "
政策企画局,政策調整部,政策調整課,令和01年05月15日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い（3月分）,"170,770 "
政策企画局,政策調整部,政策調整課,令和01年05月15日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い（3月分）,"4,210 "
