公金支出情報（平成３１年４月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,　　　支払額　（円）　
政策企画局,総務部,総務課,平成31年04月01日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,少額支払案件に係る前渡金の支払（一需・４月分）,"80,000 "
政策企画局,総務部,総務課,平成31年04月09日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支払（役務費・４月分）,"30,000 "
政策企画局,総務部,総務課,平成31年04月11日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,少額支払案件に係る前渡金の支払（一需 4月分その2）,"78,758 "
政策企画局,総務部,秘書課,平成31年04月01日,一般会計,総務費,政策企画費,管理費,交際費,平成31年度　知事等交際費の支出について,"2,000,000 "
政策企画局,総務部,秘書課,平成31年04月01日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複数の少額支払案件に係る前渡金の支出(４月分),"250,000 "
政策企画局,総務部,秘書課,平成31年04月01日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の支出(４月分),"50,000 "
政策企画局,総務部,秘書課,平成31年04月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,タクシー代金の支出について,"4,970 "
政策企画局,総務部,秘書課,平成31年04月25日,一般会計,総務費,政策企画費,管理費,役務費,郵券の購入,"98,400 "
政策企画局,総務部,秘書課,平成31年04月25日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,タクシー料金の支出について,"3,660 "
政策企画局,総務部,渉外課,平成31年04月12日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,平成31年九都県市首脳会議部局長会議に係る経費,"103,464 "
政策企画局,総務部,渉外課,平成31年04月18日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金(役務・0178-05・4月),"20,000 "
政策企画局,総務部,渉外課,平成31年04月18日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複数の少額支払い案件に係る前渡金(一需017801・4月),"20,000 "
政策企画局,総務部,渉外課,平成31年04月18日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複数の少額支払案件に係る前渡金(一需・017805・4月）,"30,000 "
政策企画局,総務部,渉外課,平成31年04月18日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複数の少額支払い案件に係る前渡金(一需・017801・4月,"30,000 "
政策企画局,総務部,渉外課,平成31年04月23日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,第75回九都県市首脳会議に係る会場借上代等の支出,"4,316,712 "
政策企画局,総務部,渉外課,平成31年04月23日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,第75回九都県市首脳会議に係る会場借上代等の支出,"135,821 "
政策企画局,総務部,渉外課,平成31年04月23日,一般会計,総務費,政策企画費,管理費,役務費,第75回九都県市首脳会議に係る会場借上代等の支出,864 
政策企画局,総務部,渉外課,平成31年04月23日,一般会計,総務費,政策企画費,管理費,負担金補助及交付金,平成31年度関東地方知事会分担金の支出について,"60,000 "
政策企画局,総務部,渉外課,平成31年04月23日,一般会計,総務費,政策企画費,管理費,負担金補助及交付金,「地方行財政調査会東京・首都圏懇談会」会費 31年度,"261,600 "
政策企画局,総務部,渉外課,平成31年04月23日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,第75回九都県市首脳会議における無線機借入に係る経費,"36,174 "
政策企画局,総務部,渉外課,平成31年04月23日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,ラグビーワールドカップ2019公式マスコット人形買入れ,"27,648 "
政策企画局,総務部,渉外課,平成31年04月24日,一般会計,総務費,政策企画費,管理費,負担金補助及交付金,平成31年度全国知事会分担金の支出について,"22,761,000 "
政策企画局,政策調整部,政策調整課,平成31年04月05日,一般会計,総務費,政策企画費,管理費,役務費,NTT光回線移設に伴う作業経費の支出について,"38,880 "
政策企画局,政策調整部,政策調整課,平成31年04月08日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,少額支払案件に係る前渡金の準備（一般需用費４月分）,"80,000 "
政策企画局,政策調整部,政策調整課,平成31年04月08日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の準備（役務費４月分）,"20,000 "
政策企画局,政策調整部,報道課,平成31年04月11日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,少額支払案件に係る前渡金の支出(一般需用費)(4月分),"50,000 "
政策企画局,政策調整部,報道課,平成31年04月11日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出(役務費)(４月分),"10,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞),"15,482 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞),"2,144 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞),"7,860 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞),"40,967 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞),"5,955 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞),"7,146 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,人権対策費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞),"8,336 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,区市町村振興費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞),"15,482 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,防災管理費,防災指導費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞),"13,577 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,統計費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞),"9,051 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"90,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,戦略政策情報推進費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"24,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,財務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"12,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,生活文化費,生活文化費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"30,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,都市整備費,都市整備管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"66,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,都市整備費,住宅政策費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"30,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,環境費,環境管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"48,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,福祉保健費,福祉保健管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"84,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,産業労働費,産業労働管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"54,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,土木費,土木管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"30,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,会計管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"6,000 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"101,160 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,戦略政策情報推進費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(産経新聞）,"26,976 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"17,402 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"2,409 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"8,835 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"46,048 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"6,693 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"8,032 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,人権対策費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"9,370 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,区市町村振興費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"17,402 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,防災管理費,防災指導費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"15,260 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,統計費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"10,173 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,財務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"13,488 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,生活文化費,生活文化費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"33,720 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,都市整備費,都市整備管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"74,184 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,都市整備費,住宅政策費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"33,720 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,環境費,環境管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"53,952 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,福祉保健費,福祉保健管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"94,416 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,産業労働費,産業労働管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"60,696 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,土木費,土木管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"33,720 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,会計管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(読売新聞）,"6,744 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"22,324 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,戦略政策情報推進費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"5,953 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"3,840 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,532 
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"1,950 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"10,162 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"1,477 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"1,772 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,人権対策費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"2,068 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,区市町村振興費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"3,840 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,防災管理費,防災指導費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"3,368 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,統計費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"2,245 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,財務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"2,977 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,生活文化費,生活文化費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"7,442 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,都市整備費,都市整備管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"16,371 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,都市整備費,住宅政策費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"7,442 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,環境費,環境管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"11,906 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,福祉保健費,福祉保健管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"20,836 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,産業労働費,産業労働管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"13,395 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,土木費,土木管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"7,442 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,会計管理費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(日経新聞）,"1,488 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(東京新聞）,"37,800 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,戦略政策情報推進費,管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(東京新聞）,"10,080 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(東京新聞）,"6,502 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(東京新聞）,900 
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(東京新聞）,"3,301 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(東京新聞）,"17,208 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(東京新聞）,"2,501 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,総務管理費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(東京新聞）,"3,001 "
政策企画局,政策調整部,報道課,平成31年04月26日,一般会計,総務費,総務管理費,人権対策費,使用料及賃借料,クリッピング利用に係る資金前渡金の支出(東京新聞）,"3,501 "
