公金支出情報（平成３０年５月（出納整理期間）分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,　　　支払額　（円）　
政策企画局,総務部,総務課,平成30年05月01日,一般会計,総務費,政策企画費,管理費,役務費,５月分  公共料金支払,"5,670 "
政策企画局,総務部,総務課,平成30年05月01日,一般会計,総務費,政策企画費,管理費,役務費,５月分  公共料金支払,"7,091 "
政策企画局,総務部,総務課,平成30年05月08日,一般会計,総務費,総務管理費,職員研修費,負担金補助及交付金,自己啓発による通信教育受講に係る支出,"13,850 "
政策企画局,総務部,総務課,平成30年05月08日,一般会計,総務費,総務管理費,職員研修費,負担金補助及交付金,自己啓発による通信教育受講に係る支出,"18,830 "
政策企画局,総務部,総務課,平成30年05月08日,一般会計,総務費,総務管理費,職員研修費,負担金補助及交付金,自己啓発による通信教育受講に係る支出,"16,500 "
政策企画局,総務部,総務課,平成30年05月08日,一般会計,総務費,総務管理費,職員研修費,負担金補助及交付金,自己啓発による通信教育受講に係る支出,"2,895 "
政策企画局,総務部,総務課,平成30年05月08日,一般会計,総務費,総務管理費,職員研修費,負担金補助及交付金,自己啓発による通信教育受講に係る支出,"7,890 "
政策企画局,総務部,総務課,平成30年05月08日,一般会計,総務費,総務管理費,職員研修費,負担金補助及交付金,自己啓発による通信教育受講に係る支出,"8,950 "
政策企画局,総務部,総務課,平成30年05月11日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払旅費の支出について(非システム分30年5月処理分,"2,058 "
政策企画局,総務部,総務課,平成30年05月17日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,地域と人権（全国版）外１点の購読,"4,728 "
政策企画局,総務部,総務課,平成30年05月21日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払旅費の支出について（30年5月処理分）,269 
政策企画局,総務部,総務課,平成30年05月22日,一般会計,総務費,政策企画費,管理費,委託料,平成29年度局ホームページ再構築等に係る業務委託２,"7,549,200 "
政策企画局,総務部,総務課,平成30年05月23日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,クラウド版ＣＭＳライセンスの購入,"972,000 "
政策企画局,総務部,秘書課,平成30年05月02日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,雑誌の購入(概算契約)に係る支出(1〜3月分),"185,292 "
政策企画局,調整部,政策課,平成30年05月01日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出について(3月・不適合除外分),"5,450 "
政策企画局,調整部,政策課,平成30年05月01日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出について(3月・不適合除外分),"5,178 "
政策企画局,調整部,政策課,平成30年05月01日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出について(3月・不適合除外分),"14,972 "
政策企画局,調整部,政策課,平成30年05月01日,一般会計,総務費,政策企画費,管理費,旅費 普通旅費,定日払い旅費の支出について(3月・不適合除外分),"119,176 "
政策企画局,調整部,政策課,平成30年05月01日,一般会計,総務費,政策企画費,管理費,役務費,５月分  公共料金支払,"15,124 "
政策企画局,調整部,政策課,平成30年05月08日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,雑誌の購入（概算契約）に係る支出について(1〜3月分),"4,680 "
政策企画局,調整部,政策課,平成30年05月08日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,雑誌「月刊THEMIS」の購入,"12,360 "
政策企画局,調整部,政策課,平成30年05月08日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い(3月分),"141,995 "
政策企画局,調整部,政策課,平成30年05月08日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い(3月分),"2,590 "
政策企画局,調整部,政策課,平成30年05月08日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い(3月分),"162,405 "
政策企画局,調整部,政策課,平成30年05月08日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,チケットによるタクシー利用料金の支払い(3月分),"129,087 "
政策企画局,調整部,政策課,平成30年05月10日,一般会計,総務費,政策企画費,管理費,委託料,在日外国メディア向けプレスリリース配信業務の支出,"212,760 "
政策企画局,調整部,政策課,平成30年05月22日,一般会計,総務費,政策企画費,管理費,委託料,「東京150年」事業広報素材等制作及び企画業務委託,"9,919,800 "
