公金支出情報（平成３０年４月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,　　　支払額　（円）　
政策企画局,総務部,総務課,平成30年04月11日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,少額支払案件に係る前渡金の支出（一需・４月分）,"80,000 "
政策企画局,総務部,総務課,平成30年04月11日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務・４月分）,"30,000 "
政策企画局,総務部,秘書課,平成30年04月02日,一般会計,総務費,政策企画費,管理費,交際費,平成30年度　知事等交際費の支出について,"2,000,000 "
政策企画局,総務部,秘書課,平成30年04月02日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複数の少額支払案件に係る前渡金の支出（４月分）,"250,000 "
政策企画局,総務部,秘書課,平成30年04月02日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の支出（４月分）,"50,000 "
政策企画局,調整部,政策課,平成30年04月02日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複数の少額支払案件に係る前渡金の支出(一需4月分),"80,000 "
政策企画局,調整部,政策課,平成30年04月02日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の準備(役務4月分),"20,000 "
政策企画局,調整部,政策課,平成30年04月18日,一般会計,総務費,政策企画費,管理費,役務費,「東京夜景マップガイド」等の送付に係る経費の支出,"109,200 "
政策企画局,調整部,報道課,平成30年04月05日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複数の少額支払案件に係る前渡金の支出(４月分),"50,000 "
政策企画局,調整部,渉外課,平成30年04月11日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金（役務費・4月分）,"30,000 "
政策企画局,調整部,渉外課,平成30年04月11日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複数の少額支払案件に係る前渡金(一般需用費・4月分）,"20,000 "
政策企画局,調整部,渉外課,平成30年04月12日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る資金前渡（役務費）,"50,000 "
政策企画局,調整部,渉外課,平成30年04月12日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複数の少額支払案件に係る資金前渡（一般需要費）,"50,000 "
政策企画局,調整部,渉外課,平成30年04月12日,一般会計,総務費,政策企画費,管理費,負担金補助及交付金,平成30年度関東地方知事会分担金の支出について,"60,000 "
政策企画局,調整部,渉外課,平成30年04月12日,一般会計,総務費,政策企画費,管理費,負担金補助及交付金,「地方行財政調査会東京・首都圏懇談会」会費 30年度,"259,200 "
政策企画局,調整部,渉外課,平成30年04月17日,一般会計,総務費,政策企画費,管理費,負担金補助及交付金,平成30年度全国知事会分担金の支出について,"22,773,000 "
政策企画局,調整部,渉外課,平成30年04月26日,一般会計,総務費,政策企画費,管理費,役務費,東京開業ワンストップセンター相談体験会(4月)の会場使用料,432 
